centre_date,TAC,Var
1994-12-01,0.6434111246329219,3.8143695024394098
1995-12-01,0.533952349961351,0.6221481547677243
1996-12-01,0.526010031180879,0.6305959648284607
1997-12-01,0.5106212561918004,0.6367544067721251
1998-12-01,0.5225004171712148,0.5966917139351371
1999-12-01,0.5416743640796295,0.5716405845595686
2000-12-01,0.4673746834740206,0.3658992269484271
2001-12-01,0.33748734609587056,0.2526511133194239
2002-12-01,0.38293859511723866,0.28808571960838647
2003-12-01,0.44666750549900314,0.35776756514106545
2004-12-01,0.49443144906404335,0.4383678848993244
2005-12-01,0.5487301628514406,0.4190636818305922
2006-12-01,0.5292250692202269,0.4194348414022458
2007-12-01,0.5600917306357578,0.4542843212952273
2008-12-01,0.5892974857027478,0.4742949790243367
2009-12-01,0.559673592655737,0.49596041464654894
2010-12-01,0.547699083259654,0.5003843149768038
2011-12-01,0.546981327688862,0.5137065040594325
2012-12-01,0.5120999742160989,0.452950356576603
2013-12-01,0.4745177832469885,0.3886793128504741
2014-12-01,0.4321852590405908,0.3115997923628791
2015-12-01,0.34894607184178533,0.27809428447784096
2016-12-01,0.3579140491916439,0.2723383884784933
2017-12-01,0.28142434420210677,0.22586517348943058
2018-12-01,0.2175455543218699,0.17367514695456132
2019-12-01,0.6750535128131464,0.5969542930259641
2020-12-01,0.691382185613489,0.6450892544138069
2021-12-01,0.7020550811718932,0.609461357261872
2022-12-01,0.6738644720921007,0.6489120562567955
2023-12-01,0.6567021995503489,0.6818116079491653
2024-12-01,0.6657983840122423,0.7009120931509988
2025-12-01,0.7018193824376927,0.8453233447911429
2026-12-01,0.7147020444255657,0.8903266572801154
2027-12-01,0.715758023515392,0.8985324462202423
2028-12-01,0.7007896443516016,0.9237435006311332
2029-12-01,0.6177401626738078,0.6198150438242397
2030-12-01,0.5612780397939297,0.6131410270854811
2031-12-01,0.5752251897409666,0.6094498878125322
2032-12-01,0.5796762962403081,0.576965143536135
2033-12-01,0.560468742223687,0.6009035418214366
2034-12-01,0.5789484524219299,0.6551559904132775
2035-12-01,0.518796812434666,0.5305416444297777
2036-12-01,0.4648998634254414,0.6275592490091468
2037-12-01,0.5776964425709518,0.8811813181639665
2038-12-01,0.5691763956830412,0.8815164309302711
2039-12-01,0.5476545544932824,0.8339144561195125
2040-12-01,0.5622010248032284,0.777035275620027
2041-12-01,0.5524359280346386,0.7864500536119308
2042-12-01,0.5816516469079606,0.8907667261669738
2043-12-01,0.5911429308314562,0.8126275164497923
2044-12-01,0.5830968126172955,0.7642310712442928
2045-12-01,0.5797477973461063,0.7602749622095053
2046-12-01,0.5629150227053217,0.62134854891352
2047-12-01,0.42305700239675836,0.4494399747527848
2048-12-01,0.42898909900309035,0.4418354222235792
2049-12-01,0.40465627656846614,0.3575459588697521
2050-12-01,0.42832200986685487,0.35749335867012816
2051-12-01,0.47390349957040223,0.39184389481495774
2052-12-01,0.3087684844386448,0.31177406106715394
2053-12-01,0.3181815434862478,0.3117680224177793
2054-12-01,0.3326995141237516,0.35314330793383825
2055-12-01,0.44923433440658284,0.47743168394237095
2056-12-01,0.5827042769533863,0.6105791663237499
2057-12-01,0.6048881891373574,0.6125054034144735
2058-12-01,0.6135520392213502,0.631828599020057
2059-12-01,0.6022294420989529,0.6367892088754462
2060-12-01,0.6016047507940934,0.6218785353717392
